"發病年週","確定病例數"
"202434",3
"202435",19
"202436",48
"202437",43
"202438",44
"202439",37
"202440",26
"202441",31
"202442",26
"202443",25
"202444",23
"202445",17
"202446",13
"202447",9
"202448",18
"202449",11
"202450",10
"202451",14
"202452",10
"202501",12
"202502",11
"202503",8
"202504",11
"202505",4
"202506",9
"202507",13
"202508",12
"202509",5
"202510",7
"202511",7
"202512",6
"202513",10
"202514",11
"202515",20
"202516",17
"202517",15
"202518",39
"202519",57
"202520",70
"202521",119
"202522",137
"202523",149
"202524",153
"202525",118
"202526",141
"202527",127
"202528",99
"202529",59
"202530",51
"202531",39
"202532",28
"202533",25
"202534",23
"202535",12
"202536",15
"202537",20
"202538",5
"202539",7
"202540",9
"202541",8
"202542",2
"202543",6
"202544",6
"202545",2
"202546",6
"202547",2
"202548",3
"202549",3
"202550",1
"202551",3
"202552",3
"202553",2
"202601",3
"202602",1
"202603",4
"202604",3
"202605",0
"202606",3
"202607",2
"202608",0
"202609",4
"202610",2
"202611",4
"202612",1
"202613",2
"202614",1
"202615",0
"202616",0
"202617",1
"202618",0
"202619",3
"202620",0
"202621",2
"202622",3
"202623",5
"202624",3
"202625",11
"202626",15
"202627",15
"202628",32
"202629",44
"202630",60
"202631",79
"202632",80
"202633",62
"202634",63
"202635",14
