"發病年週","確定病例數"
"202301",0
"202302",0
"202303",0
"202304",0
"202305",0
"202306",0
"202307",0
"202308",0
"202309",0
"202310",0
"202311",0
"202312",0
"202313",0
"202314",0
"202315",0
"202316",0
"202317",0
"202318",0
"202319",0
"202320",0
"202321",0
"202322",2
"202323",5
"202324",26
"202325",62
"202326",117
"202327",128
"202328",129
"202329",209
"202330",205
"202331",302
"202332",470
"202333",566
"202334",911
"202335",1414
"202336",2121
"202337",1922
"202338",2046
"202339",2586
"202340",2259
"202341",1765
"202342",1758
"202343",1486
"202344",1587
"202345",1342
"202346",1042
"202347",680
"202348",421
"202349",353
"202350",265
"202351",150
"202352",86
"202401",47
"202402",40
"202403",24
"202404",12
"202405",7
"202406",4
"202407",7
"202408",18
"202409",4
"202410",1
"202411",1
"202412",0
"202413",1
"202414",3
"202415",1
"202416",6
"202417",1
"202418",1
"202419",0
"202420",0
"202421",0
"202422",0
"202423",2
"202424",0
"202425",0
"202426",0
"202427",0
"202428",0
"202429",0
"202430",0
"202431",0
"202432",0
"202433",0
"202434",0
"202435",0
"202436",0
"202437",3
"202438",28
"202439",31
"202440",5
"202441",4
"202442",3
"202443",5
"202444",2
"202445",2
"202446",0
"202447",1
"202448",1
"202449",0
"202450",2
"202451",1
"202452",1
"202501",0
"202502",0
"202503",0
"202504",0
"202505",0
"202506",0
"202507",0
"202508",0
"202509",0
"202510",0
"202511",0
"202512",0
"202513",0
"202514",0
"202515",0
"202516",0
"202517",0
"202518",0
"202519",0
"202520",0
"202521",0
"202522",0
"202523",0
"202524",0
"202525",0
"202526",0
"202527",0
"202528",0
"202529",0
"202530",0
"202531",0
"202532",0
"202533",0
"202534",2
"202535",10
"202536",0
"202537",0
"202538",4
"202539",4
"202540",1
"202541",1
"202542",2
"202543",1
"202544",1
"202545",3
"202546",0
"202547",0
"202548",0
"202549",0
"202550",0
"202551",0
"202552",0
"202553",0
"202601",0
"202602",0
"202603",0
"202604",0
"202605",0
"202606",0
"202607",0
"202608",0
"202609",0
"202610",0
"202611",0
"202612",0
"202613",0
"202614",0
"202615",0
"202616",0
"202617",0
"202618",0
"202619",0
"202620",1
"202621",0
"202622",0
"202623",6
"202624",0
"202625",0
"202626",0
"202627",0
"202628",0
"202629",0
"202630",0
"202631",0
"202632",0
"202633",1
"202634",2
"202635",0
"202636",0
