"就診年週","全國"
"201801",100427
"201802",102274
"201803",129250
"201804",134607
"201805",116075
"201806",112104
"201807",100921
"201808",115699
"201809",111855
"201810",102706
"201811",103261
"201812",93375
"201813",88105
"201814",63996
"201815",65072
"201816",57460
"201817",55762
"201818",52666
"201819",50604
"201820",49378
"201821",48101
"201822",47663
"201823",47574
"201824",48062
"201825",45774
"201826",47808
"201827",47899
"201828",49310
"201829",50462
"201830",49613
"201831",50359
"201832",51978
"201833",52267
"201834",50120
"201835",52603
"201836",55062
"201837",56957
"201838",57881
"201839",54648
"201840",56517
"201841",50198
"201842",51650
"201843",52287
"201844",55020
"201845",53068
"201846",54206
"201847",52893
"201848",56829
"201849",61814
"201850",61860
"201851",67049
"201852",73816
"201901",73986
"201902",87135
"201903",92811
"201904",100497
"201905",117327
"201906",57405
"201907",96791
"201908",88974
"201909",83471
"201910",79497
"201911",82810
"201912",81595
"201913",78119
"201914",66542
"201915",71040
"201916",68960
"201917",69985
"201918",69990
"201919",72595
"201920",75061
"201921",77403
"201922",79387
"201923",75176
"201924",78070
"201925",81547
"201926",75686
"201927",74877
"201928",74467
"201929",75853
"201930",74177
"201931",72153
"201932",68106
"201933",68870
"201934",69639
"201935",74021
"201936",75697
"201937",76572
"201938",82334
"201939",76498
"201940",71791
"201941",68086
"201942",67981
"201943",65856
"201944",65881
"201945",68294
"201946",70582
"201947",70626
"201948",73246
"201949",75283
"201950",90575
"201951",98532
"201952",107730
"202001",109812
"202002",119947
"202003",112990
"202004",108911
"202005",85312
"202006",79131
"202007",59323
"202008",49712
"202009",43606
"202010",41979
"202011",37193
"202012",40363
"202013",36426
"202014",32259
"202015",36432
"202016",32626
"202017",28749
"202018",26039
"202019",24491
"202020",23569
"202021",22520
"202022",23670
"202023",24714
"202024",25755
"202025",26473
"202026",24095
"202027",26947
"202028",25897
"202029",25437
"202030",25279
"202031",26894
"202032",28006
"202033",29339
"202034",30443
"202035",29594
"202036",30262
"202037",32610
"202038",31920
"202039",33185
"202040",31263
"202041",34940
"202042",34579
"202043",35373
"202044",37681
"202045",39524
"202046",39936
"202047",40838
"202048",39492
"202049",38193
"202050",37171
"202051",37483
"202052",37130
"202053",35778
"202101",38330
"202102",39179
"202103",41205
"202104",38747
"202105",37999
"202106",27630
"202107",27422
"202108",29181
"202109",27147
"202110",28948
"202111",30570
"202112",30636
"202113",30785
"202114",32401
"202115",31083
"202116",31082
"202117",30439
"202118",30457
"202119",30370
"202120",30223
"202121",27258
"202122",19519
"202123",19321
"202124",16431
"202125",16624
"202126",15196
"202127",14623
"202128",14331
"202129",14051
"202130",14071
"202131",14714
"202132",15233
"202133",14646
"202134",14675
"202135",14986
"202136",14794
"202137",15054
"202138",12961
"202139",15446
"202140",15454
"202141",14581
"202142",16241
"202143",18140
"202144",18648
"202145",18334
"202146",18222
"202147",18561
"202148",19014
"202149",20605
"202150",20916
"202151",21539
"202152",20390
"202201",24912
"202202",26467
"202203",27767
"202204",28265
"202205",8066
"202206",20419
"202207",18467
"202208",18832
"202209",19015
"202210",23329
"202211",24692
"202212",23851
"202213",23298
"202214",20963
"202215",23227
"202216",23493
"202217",21368
"202218",24205
"202219",27659
"202220",30849
"202221",28668
"202222",23675
"202223",26396
"202224",25537
"202225",23576
"202226",21756
"202227",21210
"202228",20650
"202229",19095
"202230",19781
"202231",20103
"202232",21733
"202233",22588
"202234",22669
"202235",24957
"202236",24964
"202237",30530
"202238",31962
"202239",35794
"202240",41146
"202241",42986
"202242",46731
"202243",50150
"202244",48054
"202245",45121
"202246",42377
"202247",38562
"202248",35414
"202249",37174
"202250",37273
"202251",38943
"202252",43804
"202301",41132
"202302",44916
"202303",46794
"202304",24729
"202305",46025
"202306",42673
"202307",43405
"202308",44949
"202309",43411
"202310",46830
"202311",47000
"202312",44852
"202313",47136
"202314",42951
"202315",50637
"202316",50968
"202317",57065
"202318",61207
"202319",65497
"202320",69885
"202321",73257
"202322",75749
"202323",75959
"202324",75974
"202325",70396
"202326",71707
"202327",66241
"202328",62772
"202329",61075
"202330",58044
"202331",58716
"202332",64275
"202333",71126
"202334",77623
"202335",83174
"202336",85669
"202337",98768
"202338",105669
"202339",106909
"202340",104127
"202341",86676
"202342",83694
"202343",81349
"202344",84713
"202345",87295
"202346",80972
"202347",82988
"202348",86923
"202349",84046
"202350",89980
"202351",89885
"202352",113283
"202401",125697
"202402",131830
"202403",131660
"202404",118749
"202405",128359
"202406",108164
"202407",95666
"202408",116563
"202409",105699
"202410",107799
"202411",111129
"202412",107966
"202413",98300
"202414",83850
"202415",91521
"202416",92568
"202417",91992
"202418",93262
"202419",89949
"202420",87472
"202421",80365
"202422",83752
"202423",89754
"202424",91672
"202425",99723
"202426",104662
"202427",109434
"202428",101161
"202429",94432
"202430",71651
"202431",71554
"202432",67767
"202433",70518
"202434",71536
"202435",73835
"202436",71539
"202437",72231
"202438",71419
"202439",79708
"202440",72998
"202441",75695
"202442",77002
"202443",76816
"202444",71742
"202445",75284
"202446",75473
"202447",79334
"202448",80542
"202449",88492
"202450",86541
"202451",93046
"202452",108109
"202501",127146
"202502",140418
"202503",143122
"202504",161873
"202505",78759
"202506",181056
"202507",149071
"202508",137390
"202509",115300
"202510",112456
"202511",109911
"202512",111622
"202513",115104
"202514",93928
"202515",104661
"202516",101477
"202517",94701
"202518",100407
"202519",101525
"202520",108603
"202521",108902
"202522",103300
"202523",105027
"202524",101525
"202525",102966
"202526",95164
"202527",90418
"202528",79848
"202529",80321
"202530",78746
"202531",76468
"202532",79966
"202533",83639
"202534",86246
"202535",87721
"202536",94960
"202537",105717
"202538",121599
"202539",135196
"202540",157431
"202541",142543
"202542",134735
"202543",114267
"202544",111019
"202545",106155
"202546",97136
"202547",88525
"202548",89483
"202549",87967
"202550",87481
"202551",86790
"202552",83833
"202553",84460
"202601",96095
"202602",108986
"202603",115232
"202604",118938
"202605",117226
"202606",121354
"202607",51438
"202608",95837
"202609",85889
"202610",91845
"202611",98685
"202612",99970
"202613",90764
"202614",87866
"202615",86446
"202616",84912
"202617",81064
"202618",86940
"202619",80489
"202620",79065
"202621",75535
"202622",75150
"202623",69342
"202624",68888
"202625",75042
"202626",79764
"202627",76550
"202628",84922
"202629",84711
"202630",88187
"202631",91462
"202632",93425
"202633",92653
"202634",99350
"202635",108444
